Shop Name,City,Rating,Email,Website,Status
Sydney CBD Repair Centre,Sydney,4.9,Ask@SydneyCBDrepairCentre.com.au,https://sydneycbd.repair/,Verified
uBreakiFix Sydney,Sydney,4.9,Form only,http://www.ubreakifix.com.au/,Incomplete
Phones Repairs 2U,Sydney,5.0,p.repairs2u@gmail.com,https://phonerepairs2u.com.au/,Verified
Fone Galaxy,Sydney,4.8,info@fonegalaxy.com.au,http://www.fonegalaxy.com.au/,Verified
Cheap Mobile Repair,Sydney,4.9,info@cheapmobilerepair.com.au,https://www.cheapmobilerepair.com.au/,Verified
iExperts,Sydney,4.8,sydney@iexperts.com.au,https://www.iexperts.com.au/,Verified
FoneLabs,Sydney,4.9,Fonelablakemba@icloud.com,https://www.fonelabs.com.au/,Verified
Fixpod,Sydney,4.9,repairs@fixpod.com.au,https://www.fixpod.com.au/,Verified
Dr Boom,Sydney,4.7,support@drboom.com.au,https://drboom.com.au/,Verified
Repair Xperts,Sydney,4.8,info@repairxperts.com.au,https://www.repairxperts.com.au/,Verified
Fone Fix,Sydney,4.8,info@fonefix.com.au,https://fonefix.com.au/,Verified
MKC Melbourne,Melbourne,4.5,support@mkcmelbourne.com.au,https://mkcmelbourne.com.au/,Verified
Elephone,Melbourne,4.9,info@elephone.com.au,http://elephone.com.au/,Verified
Fixspot,Melbourne,4.4,Admin@FixSpot.Com.au,https://fixspot.com.au/,Verified
City Phones,Melbourne,4.8,info@cityphones.com.au,http://www.cityphones.com.au/,Verified
Repair Buddy,Melbourne,4.8,services@repairbuddy.com.au,https://repairbuddy.com.au/,Verified
Happytel,Melbourne,4.7,info@happytel.com,https://www.happytel.com/,Verified
PTC,Melbourne,4.8,customerservice@ptc.net.au,https://www.ptc.net.au/,Verified
Mister Click,Melbourne,4.9,sales@misterclick.com.au,https://misterclick.com.au/,Verified
Fix To Go,Melbourne,4.9,admin@fixtogo.com.au,https://fixtogo.com.au/,Verified
SIMSIM Repairs,Melbourne,4.9,info@simsim.com.au,https://simsim.com.au/,Verified
DigiCycle,Melbourne,4.9,hello@digicycle.com.au,https://www.digicycle.com.au/,Verified
MyFone Repairs - Crown,Melbourne,5.0,crown@myfonerepairs.com.au,https://myfonerepairs.com.au/,Verified
Repair Pro Melbourne Central,Melbourne,4.7,info@repairpro.com.au,https://repairpro.com.au/,Verified
Victoria Market Comms,Melbourne,4.8,info@vicmarketcommunications.com.au,https://www.vicmarketcommunications.com.au/,Verified
YOUBREAK – WEFIX™,Melbourne,5.0,info@youbreakwefix.com.au,https://youbreakwefix.com.au/,Verified
