Shop Name,City,Email,Scheduled Day,Scheduled Date,Status,Date Sent
Sydney CBD Repair Centre,Sydney,Ask@SydneyCBDrepairCentre.com.au,Day 1,2026-06-03,Failed,
Phones Repairs 2U,Sydney,p.repairs2u@gmail.com,Day 1,2026-06-03,Failed,
Fone Galaxy,Sydney,info@fonegalaxy.com.au,Day 1,2026-06-03,Failed,
Cheap Mobile Repair,Sydney,info@cheapmobilerepair.com.au,Day 1,2026-06-03,Failed,
iExperts,Sydney,sydney@iexperts.com.au,Day 1,2026-06-03,Failed,
FoneLabs,Sydney,Fonelablakemba@icloud.com,Day 2,2026-06-04,Failed,
Fixpod,Sydney,repairs@fixpod.com.au,Day 2,2026-06-04,Failed,
Dr Boom,Sydney,support@drboom.com.au,Day 2,2026-06-04,Failed,
Repair Xperts,Sydney,info@repairxperts.com.au,Day 2,2026-06-04,Failed,
Fone Fix,Sydney,info@fonefix.com.au,Day 2,2026-06-04,Failed,
MKC Melbourne,Melbourne,support@mkcmelbourne.com.au,Day 3,2026-06-05,Sent,2026-06-05 09:23:20
Elephone,Melbourne,info@elephone.com.au,Day 3,2026-06-05,Sent,2026-06-05 09:23:23
Fixspot,Melbourne,Admin@FixSpot.Com.au,Day 3,2026-06-05,Sent,2026-06-05 09:23:35
City Phones,Melbourne,info@cityphones.com.au,Day 3,2026-06-05,Sent,2026-06-05 09:23:38
Repair Buddy,Melbourne,services@repairbuddy.com.au,Day 3,2026-06-05,Sent,2026-06-05 09:23:42
Happytel,Melbourne,info@happytel.com,Day 4,2026-06-06,Failed,
PTC,Melbourne,customerservice@ptc.net.au,Day 4,2026-06-06,Sent,2026-06-06 09:00:18
Mister Click,Melbourne,sales@misterclick.com.au,Day 4,2026-06-06,Sent,2026-06-06 09:00:21
Fix To Go,Melbourne,admin@fixtogo.com.au,Day 4,2026-06-06,Sent,2026-06-06 09:00:25
SIMSIM Repairs,Melbourne,info@simsim.com.au,Day 4,2026-06-06,Sent,2026-06-06 09:00:29
DigiCycle,Melbourne,hello@digicycle.com.au,Day 5,2026-06-07,Sent,2026-06-07 09:00:04
MyFone Repairs - Crown,Melbourne,crown@myfonerepairs.com.au,Day 5,2026-06-07,Sent,2026-06-07 09:00:10
Repair Pro Melbourne Central,Melbourne,info@repairpro.com.au,Day 5,2026-06-07,Sent,2026-06-07 09:00:25
Victoria Market Comms,Melbourne,info@vicmarketcommunications.com.au,Day 5,2026-06-07,Sent,2026-06-07 09:00:29
YOUBREAK – WEFIX™,Melbourne,info@youbreakwefix.com.au,Day 5,2026-06-07,Sent,2026-06-07 09:00:33
Phonerehab,Wollongong,enquiries@phonerehab.com.au,Sourced,2026-06-04,Pending,
Wollongongcentral,Wollongong,info@wollongongcentral.com.au,Sourced,2026-06-04,Pending,
Starphones,Wollongong,resolve@starphones.com.au,Sourced,2026-06-04,Pending,
Fonetech,Wollongong,repairs@fonetech.com.au,Sourced,2026-06-04,Pending,
Phonerepairwollongong,Wollongong,phonerepairaus@gmail.com,Sourced,2026-06-04,Pending,
